Name,Count,Gender,First,Last,Peak
Aamer,41,M,1986,2018,2018
Aamia,22,F,2007,2017,2007
Aamil,34,M,1985,2020,2012
Aamilah,97,F,2012,2020,2016
Aamina,348,F,1984,2020,2015
Aaminah,447,F,1991,2020,2015
Aamir,6,F,2013,2013,2013
Aamir,2205,M,1974,2020,2015
Aamira,370,F,1989,2020,2015
Aamirah,228,F,2001,2020,2008
Aamiya,62,F,2006,2019,2007
Aamiyah,455,F,2001,2020,2011
Aamna,236,F,1994,2020,2003
Aamoni,15,F,2009,2019,2009
Aamora,11,F,2016,2019,2019
Aamorah,5,F,2018,2018,2018
Aamori,101,F,2004,2016,2006
Aamya,121,F,2002,2013,2007
Aamyah,57,F,2002,2016,2004
Aana,23,F,2002,2019,2002
Aanand,10,M,1995,2018,1995
Aanav,82,M,2011,2020,2019
Aanay,28,M,2016,2019,2016
Aanaya,83,F,2014,2020,2018
Aanchal,72,F,1995,2017,2007
Aania,63,F,1999,2020,2017
Aaniah,33,F,2002,2008,2003
Aanijah,5,F,2003,2003,2003
Aanik,6,M,2018,2018,2018
Aanika,323,F,2001,2020,2015
Aanisah,39,F,1995,2008,2003
Aaniya,340,F,1999,2020,2010
Aaniyah,1267,F,1998,2020,2008
Aaniylah,11,F,2013,2014,2013
Aansh,36,M,2012,2020,2015
Aanshi,116,F,2007,2020,2014
Aanvi,361,F,2005,2020,2017
Aanya,2963,F,1998,2020,2014
Aanyah,78,F,1998,2014,2006
Aanyla,7,F,2013,2013,2013
Aapri,5,F,1982,1982,1982
Aaqib,38,M,2003,2020,2007
Aaqil,53,M,2007,2019,2007
Aara,141,F,2009,2020,2019
Aarabella,22,F,2012,2019,2014
Aarabhi,17,F,2015,2020,2018
Aaradhana,68,F,2012,2019,2019
Aaradhy,5,M,2015,2015,2015
Aaradhya,713,F,2012,2020,2016
Aaraf,27,M,2016,2020,2016
Aaraiz,6,M,2014,2014,2014
Aaral,6,F,2019,2019,2019
Aaralyn,1270,F,2003,2020,2013
Aaralynn,290,F,2005,2020,2013
Aaran,217,M,1973,2020,2015
Aaranya,5,F,2019,2019,2019
Aaraon,5,M,1978,1978,1978
Aaratrika,5,F,2012,2012,2012
Aarav,6179,M,2002,2020,2015
Aaravi,41,F,2015,2019,2018
Aaravreddy,6,M,2016,2016,2016
Aaraya,5,F,2015,2015,2015
Aaren,282,F,1975,2010,1990
Aaren,861,M,1971,2020,2003
Aareon,10,F,1998,2000,1998
Aareon,33,M,1999,2010,2010
Aareona,7,F,2010,2010,2010
Aari,17,F,2015,2020,2015
Aari,24,M,2014,2020,2019
Aaria,487,F,2001,2020,2018
Aariah,311,F,2001,2020,2016
Aarian,64,F,2000,2019,2015
Aarian,153,M,2003,2020,2013
Aariana,447,F,1994,2019,2014
Aarianna,213,F,1996,2020,2016
Aarib,82,M,2010,2019,2016
Aaric,531,M,1972,2020,2016
Aarica,95,F,1979,2000,1991
Aarick,28,M,1991,2015,2003
Aarie,10,F,2013,2018,2013
Aariel,213,F,1988,2019,2017
Aariella,5,F,2016,2016,2016
Aarielle,49,F,2008,2017,2015
Aarien,7,M,2015,2015,2015
Aarik,188,M,1983,2020,2017
Aarika,824,F,1979,2020,1990
Aariketh,6,M,2015,2015,2015
Aarilyn,112,F,2006,2019,2011
Aarilynn,15,F,2015,2018,2015
Aarin,302,F,1976,2016,1979
Aarin,717,M,1976,2020,2020
Aarini,105,F,2007,2019,2014
Aarion,146,F,1989,2019,1991
Aarion,497,M,1980,2020,2011
Aariona,248,F,1994,2018,2004
Aarionna,142,F,1996,2019,2008
Aaris,60,F,1998,2020,2014
Aaris,57,M,1996,2019,2019
Aarish,254,M,2007,2020,2015
Aarit,127,M,2007,2020,2015
Aariv,455,M,2007,2020,2020
Aariya,173,F,2008,2020,2019
Aariyah,634,F,2003,2020,2018
Aariyan,14,M,2014,2018,2018
Aariyana,97,F,2004,2017,2015
Aariyanna,14,F,2004,2007,2007
Aariyona,5,F,2007,2007,2007
Aariyonna,5,F,2005,2005,2005
Aariz,784,M,2004,2020,2018
Aarjav,33,M,2007,2017,2007
Aarn,17,M,1979,1987,1985
Aarna,1876,F,2005,2020,2020
Aarnav,504,M,2003,2020,2012
Aarnavi,60,F,2010,2019,2014
Aarne,10,M,1919,1920,1919
Aarnik,14,M,2020,2020,2020
Aarnika,24,F,2019,2020,2019
Aaro,95,M,2012,2020,2018
Aaroh,5,M,2014,2014,2014
Aarohan,24,M,2012,2019,2019
Aarohi,712,F,1998,2020,2014
Aarolyn,11,F,2013,2016,2013
Aaron,4336,F,1914,2020,1980
Aaron,592018,M,1880,2020,1989
Aarona,5,F,1972,1972,1972
Aaronae,5,F,2012,2012,2012
Aaronda,5,F,1982,1982,1982
Aaronette,11,F,1970,1974,1970
Aaronisha,6,F,2000,2000,2000
Aaronjacob,5,M,2000,2000,2000
Aaronjames,100,M,1986,2015,2003
Aaronjohn,21,M,1999,2008,2004
Aaronjoseph,7,M,2002,2002,2002
Aaronjosh,5,M,2004,2004,2004
Aaronjoshua,10,M,2000,2001,2000
Aaronlee,5,M,1982,1982,1982
Aaronmichael,74,M,1989,2012,1992
Aaronn,22,M,1988,2007,2007
Aaroosh,6,M,2008,2008,2008
Aarren,5,M,1994,1994,1994
Aarron,1235,M,1964,2018,1992
Aarsh,80,M,2001,2020,2017
Aarshi,38,F,2012,2020,2013
Aarshiya,5,F,2009,2009,2009
Aarthi,104,F,1985,2011,2003
Aarti,437,F,1971,2015,1982
Aaruhi,46,F,2015,2020,2018
Aarunya,20,F,2018,2020,2019
Aarush,2553,M,2002,2020,2010
Aarushi,763,F,1999,2020,2006
Aarushreddy,17,M,2017,2020,2017
Aarvi,269,F,2011,2020,2020
Aarvik,28,M,2018,2020,2020
Aarvika,9,F,2019,2019,2019
Aarvin,16,M,2014,2019,2019
Aary,5,M,2017,2017,2017
Aarya,2176,F,2000,2020,2020
Aarya,342,M,2000,2020,2005
Aaryah,81,F,2007,2020,2019
Aaryahi,56,F,2015,2020,2017
Aaryan,6,F,2013,2013,2013
Aaryan,1695,M,2001,2020,2016
Aaryana,143,F,2000,2020,2006
Aaryanna,206,F,1999,2018,2001
Aaryansh,12,M,2019,2020,2019
Aaryash,19,M,2015,2020,2019
Aaryav,187,M,2010,2020,2014
Aaryn,1270,F,1973,2020,2014
Aaryn,722,M,1977,2020,2014
Aarynn,5,F,2016,2016,2016
Aaryon,15,M,2006,2015,2006
Aaryona,10,F,2003,2014,2003
Aarza,19,F,2015,2018,2017
Aaseem,5,M,2016,2016,2016
Aaser,12,M,2014,2016,2016
Aasha,332,F,1986,2020,1986
Aashana,5,F,2002,2002,2002
Aashay,31,M,1999,2015,2004
Aasher,5,M,2019,2019,2019
Aashi,640,F,2002,2020,2010
Aashia,6,F,2005,2005,2005
Aashika,104,F,2002,2020,2013
Aashini,5,F,2011,2011,2011
Aashir,153,M,2001,2020,2019
Aashirya,48,F,2011,2019,2018
Aashish,137,M,1974,2017,2004
Aashita,6,F,2007,2007,2007
Aashiyana,12,F,2005,2013,2013
Aashka,159,F,1996,2018,2014
Aashman,5,M,2013,2013,2013
Aashna,665,F,1993,2020,2013
Aashni,52,F,2005,2015,2009
Aashray,14,M,2013,2015,2015
Aashrit,6,M,2020,2020,2020
Aashrita,63,F,2008,2020,2008
Aashrith,155,M,2007,2020,2008
Aashritha,166,F,2007,2020,2014
Aashriya,19,F,2017,2019,2018
Aashvi,507,F,2004,2020,2020
Aashvik,7,M,2019,2019,2019
Aasia,225,F,1988,2017,2005
Aasiah,7,M,2018,2018,2018
Aasim,426,M,1972,2020,2017
Aasin,52,M,1990,2003,1993
Aasir,236,M,2009,2020,2018
Aasiya,212,F,1986,2020,2015
Aasiyah,529,F,1995,2020,2016
Aason,70,M,2011,2020,2018
Aastha,266,F,1998,2018,2005
Aathan,5,M,2012,2012,2012
Aathira,10,F,2019,2020,2019
Aatif,10,M,1997,2003,1997
Aatikah,5,F,2019,2019,2019
Aatish,16,M,2004,2013,2007
Aava,140,F,2006,2020,2020
Aavah,65,F,2012,2020,2013
Aavan,25,M,2017,2020,2017
Aavani,6,F,2019,2019,2019
Aavash,24,M,2015,2020,2019
Aaven,50,M,2007,2020,2010
Aavi,22,M,2011,2020,2011
Aavin,35,M,2006,2018,2017
Aavion,32,M,2008,2020,2016
Aavir,33,M,2017,2020,2018
Aavish,11,M,2016,2017,2017
Aavya,408,F,2013,2020,2017
Aavyan,33,M,2014,2020,2019
Aavyn,5,F,2012,2012,2012
Aavyn,6,M,2014,2014,2014
Aaya,50,F,1997,2017,2004
Aayaan,62,M,2008,2020,2008
Aayah,48,F,2003,2020,2012
Aayam,48,M,2014,2020,2019
Aayan,1944,M,2002,2020,2019
Aayana,134,F,1998,2020,2002
Aayanah,10,F,2008,2010,2008
Aayanna,38,F,2000,2010,2001
Aayansh,307,M,2013,2020,2018
Aayat,258,F,2012,2020,2020
Aaydan,11,M,2012,2015,2012
Aayden,5,F,2011,2011,2011
Aayden,1622,M,2003,2020,2014
Aayla,535,F,2005,2020,2020
Aaylah,93,F,2007,2018,2017
Aayliah,91,F,2002,2018,2003
Aayon,10,M,2017,2020,2017
Aayra,136,F,2014,2020,2020
Aayu,12,M,2013,2020,2013
Aayush,1328,M,1997,2020,2015
Aayusha,11,F,2014,2015,2015
Aayushi,250,F,2000,2020,2008
Aazan,5,M,2012,2012,2012
Aazeen,12,F,2016,2018,2018
Aazil,6,M,2016,2016,2016
Aazim,29,M,2011,2017,2011
Aazir,9,M,2020,2020,2020
Aaziyah,33,F,2008,2020,2008
Ab,369,M,1880,2020,2007
Aba,27,F,1978,2017,1978
Aba,5,M,2006,2006,2006
Abaan,51,M,2008,2018,2016
Abaas,6,M,2016,2016,2016
Abad,87,M,1991,2017,2001
Abaddon,8,M,2020,2020,2020
Abagael,210,F,1986,2014,1999
Abagail,5770,F,1950,2020,2008
Abagaile,15,F,1995,2007,1995
Abagale,374,F,1990,2019,2003
Abagayle,346,F,1995,2017,1999
Abaigael,19,F,2002,2016,2002
Abaigail,10,F,2006,2011,2006
Abaigeal,330,F,1989,2017,2003
Aban,39,M,2010,2019,2015
Abanoub,168,M,1991,2020,2017
Abas,90,M,2001,2020,2005
Abasi,40,M,1976,2003,1976
Abass,97,M,1997,2019,2004
Abayomi,221,M,1972,2017,1977
Abb,96,M,1884,1946,1926
Abba,6,F,1924,1924,1924
Abba,52,M,1999,2019,2014
Abbaas,5,M,2002,2002,2002
Abbagail,860,F,1982,2020,2009
Abbagale,139,F,1997,2015,2001
Abbagayle,112,F,1995,2013,2009
Abbas,1507,M,1975,2020,2018
Abbe,1325,F,1949,2014,1958
Abbee,163,F,1988,2014,2006
Abbegail,246,F,1980,2012,2001
Abbegale,82,F,1997,2010,1999
Abbegayle,73,F,1997,2009,2000
Abbey,17363,F,1917,2020,1999
Abbey,35,M,1914,2004,1951
Abbeygail,66,F,1997,2014,2011
Abbeygale,22,F,2003,2007,2007
Abbi,2044,F,1957,2020,2003
Abbie,21693,F,1880,2020,2003
Abbie,330,M,1887,1959,1930
Abbiegail,249,F,1996,2019,2010
Abbiegale,58,F,2000,2012,2012
Abbiegayle,18,F,2009,2013,2009
Abbigael,162,F,1993,2014,2000
Abbigail,11872,F,1959,2020,2009
Abbigail,5,M,2004,2004,2004
Abbigaile,91,F,1998,2013,2010
Abbigal,158,F,1995,2015,2005
Abbigale,2163,F,1981,2020,2007
Abbigayl,29,F,1999,2008,2007
Abbigayle,1312,F,1986,2018,2001
Abbilyn,12,F,2009,2011,2009
Abbot,28,M,1914,2018,1914
Abbott,24,F,2005,2015,2014
Abbott,1130,M,1880,2020,2016
Abbra,36,F,1981,1985,1982
Abbrianna,5,F,2003,2003,2003
Abbriella,31,F,2011,2017,2014
Abbrielle,83,F,1994,2012,2000
Abby,59459,F,1880,2020,2003
Abby,181,M,1924,2009,2004
Abbye,184,F,1957,2010,1995
Abbygael,70,F,1998,2013,2008
Abbygail,3504,F,1982,2020,2009
Abbygaile,47,F,2001,2013,2011
Abbygale,807,F,1993,2020,2007
Abbygayl,6,F,2008,2008,2008
Abbygayle,451,F,1995,2019,2005
Abbylynn,18,F,2009,2014,2009
Abcde,394,F,1990,2019,2009
Abd,17,M,1998,2007,1998
Abdala,6,M,2006,2006,2006
Abdalah,6,M,2007,2007,2007
Abdalla,336,M,1973,2020,2007
Abdallah,1421,M,1976,2020,2018
Abdalrahman,200,M,1996,2020,2014
Abdalrhman,5,M,2012,2012,2012
Abdel,703,M,1965,2020,2017
Abdelaziz,111,M,1993,2019,1999
Abdelhadi,5,M,2006,2006,2006
Abdelhamid,5,M,2016,2016,2016
Abdelkader,5,M,2017,2017,2017
Abdelkareem,15,M,2001,2019,2001
Abdelkarim,32,M,1994,2016,2010
Abdellah,24,M,2001,2015,2011
Abdelrahman,612,M,1987,2020,2007
Abdelrhman,6,M,2010,2010,2010
Abderrahman,5,M,2012,2012,2012
Abdi,10,F,2001,2006,2001
Abdi,301,M,1997,2020,2005
Abdia,5,F,2016,2016,2016
Abdias,724,M,1975,2020,2016
Abdiasis,6,M,2008,2008,2008
Abdiaziz,176,M,1999,2020,2015
Abdiel,5711,M,1976,2020,2019
Abdifatah,254,M,1998,2020,2016
Abdihafid,33,M,2014,2020,2014
Abdihakim,65,M,2004,2020,2013
Abdihamid,10,M,2002,2018,2002
Abdikadir,172,M,2005,2020,2008
Abdikarim,33,M,1999,2019,2017
Abdikhaliq,5,M,2011,2011,2011
Abdilahi,10,M,2010,2012,2010
Abdimalik,245,M,2001,2020,2016
Abdinajib,5,M,2013,2013,2013
Abdinasir,184,M,1999,2019,2011
Abdiqani,27,M,2005,2016,2014
Abdirahim,98,M,2004,2020,2007
Abdirahin,6,M,2015,2015,2015
Abdirahman,1918,M,1994,2020,2013
Abdirashid,40,M,1997,2017,2006
Abdirisaq,12,M,2011,2013,2011
Abdirizak,93,M,2000,2020,2014
Abdirizaq,5,M,2018,2018,2018
Abdisalam,5,M,2004,2004,2004
Abdisalan,11,M,2007,2017,2007
Abdisamad,28,M,2009,2020,2013
Abdishakur,69,M,2004,2018,2017
Abdiwahab,19,M,2008,2013,2009
Abdiwali,5,M,2011,2011,2011
Abdo,82,M,1980,2020,2007
Abdon,359,M,1915,2015,1975
Abdou,252,M,1991,2020,2012
Abdoul,481,M,1992,2020,2003
Abdoulaye,770,M,1992,2020,2007
Abdoulaziz,10,M,2008,2011,2008
Abdoulie,120,M,1994,2017,2004
Abdourahman,11,M,2006,2018,2018
Abdourahmane,30,M,2003,2020,2009
Abdrahman,15,M,2002,2013,2002
Abdrew,6,M,1988,1988,1988
Abdriel,21,M,2017,2020,2017
Abdu,32,M,1973,2012,1974
Abdual,17,M,1976,1978,1976
Abduallah,32,M,2003,2016,2005
Abduel,5,M,1975,1975,1975
Abdul,6068,M,1930,2020,1975
Abdula,39,M,1975,2000,1976
Abdulah,75,M,1990,2010,1995
Abdulahad,113,M,2007,2020,2020
Abdulahi,462,M,1996,2020,2010
Abdulai,88,M,2000,2020,2003
Abdulaye,5,M,2011,2011,2011
Abdulazeem,5,M,2009,2009,2009
Abdulazeez,30,M,1997,2018,2009
Abdulazim,5,M,2017,2017,2017
Abdulaziz,1464,M,1978,2020,2015
Abdulbari,5,M,2012,2012,2012
Abdulbasit,30,M,2009,2020,2018
Abdule,6,M,1974,1974,1974
Abdulelah,44,M,2011,2019,2012
Abdulghani,11,M,2017,2018,2017
Abdulhaadi,5,M,2016,2016,2016
Abdulhadi,161,M,1997,2020,2015
Abdulhakeem,45,M,1997,2017,2012
Abdulhakim,23,M,2002,2019,2019
Abdulhalim,5,M,2000,2000,2000
Abdulhameed,16,M,2010,2019,2016
Abdulhamid,91,M,2001,2020,2011
Abduljabbar,32,M,2011,2019,2012
Abduljaleel,5,M,2011,2011,2011
Abduljalil,5,M,2008,2008,2008
Abdulkadir,139,M,2001,2019,2006
Abdulkareem,213,M,1990,2020,2004
Abdulkarim,172,M,1990,2020,2018
Abdulkhaliq,18,M,2015,2017,2016
Abdull,5,M,1981,1981,1981
Abdulla,467,M,1976,2020,2000
Abdullah,7842,M,1947,2020,2014
Abdullahi,1571,M,1993,2020,2013
Abdullateef,5,M,2020,2020,2020
Abdullatif,49,M,1981,2019,2018
Abdulloh,105,M,2012,2020,2019
Abdulmajeed,42,M,2009,2019,2017
Abdulmajid,21,M,2000,2015,2015
Abdulmalek,5,M,2010,2010,2010
Abdulmalik,493,M,1988,2020,2015
Abdulmannan,5,M,2018,2018,2018
Abdulmohsen,21,M,2013,2018,2013
Abdulnasir,5,M,2011,2011,2011
Abdulqadir,45,M,2003,2018,2003
Abdulraheem,134,M,1998,2020,2018
Abdulrahim,117,M,1994,2020,2014
Abdulrahman,2461,M,1978,2020,2016
Abdulrazaq,5,M,2015,2015,2015
Abdulrehman,55,M,2002,2015,2011
Abdulrhman,28,M,2007,2014,2013
Abdulsalam,68,M,2004,2020,2016
Abdulsamad,35,M,2003,2019,2015
Abdulwadud,5,M,2010,2010,2010
Abdulwahab,167,M,1998,2019,2015
Abdulwahhab,5,M,2020,2020,2020
Abdulwahid,18,M,2009,2016,2016
Abdulwali,17,M,2016,2020,2016
Abdur,284,M,1976,2020,2005
Abdurahim,5,M,2017,2017,2017
Abdurahman,401,M,1994,2020,2011
Abdurahmon,5,M,2015,2015,2015
Abdurraheem,33,M,2008,2017,2017
Abdurrahim,27,M,1976,2002,1976
Abdurrahmaan,5,M,2002,2002,2002
Abdurrahman,865,M,1982,2020,2014
Abdurrehman,36,M,2002,2018,2014
Abdussamad,6,M,2005,2005,2005
Abe,9376,M,1880,2020,1917
Abeal,5,M,1998,1998,1998
Abed,199,M,1979,2019,1995
Abedallah,16,M,1990,2006,2006
Abedalrahman,11,M,2003,2007,2007
Abednego,76,M,2001,2019,2018
Abeeha,149,F,2002,2020,2020
Abeer,559,F,1971,2020,2006
Abeer,120,M,2012,2020,2020
Abeera,85,F,2009,2020,2019
Abegail,515,F,1981,2019,2000
Abegale,5,F,2004,2004,2004
Abegayle,23,F,2000,2012,2012
Abel,124,F,1975,2018,2018
Abel,57407,M,1880,2020,2015
Abela,22,F,2010,2017,2010
Abelardo,4573,M,1914,2020,2002
Abelina,536,F,1894,2020,1925
Abelino,847,M,1915,2018,1928
Abell,5,F,1917,1917,1917
Abell,24,M,1925,2017,2016
Abella,935,F,2000,2020,2012
Abem,85,M,2010,2020,2014
Aben,28,M,2007,2018,2007
Abena,605,F,1971,2020,2006
Abenezer,202,M,2003,2020,2015
Abeni,365,F,1974,2017,2006
Aber,5,F,1986,1986,1986
Aberdeen,204,F,1919,2020,2017
Aberham,25,M,1928,2010,1928
Abernathy,33,F,2008,2015,2012
Abert,15,M,1915,1924,1915
Abery,7,F,2006,2006,2006
Abey,17,F,2003,2006,2003
Abey,10,M,2001,2005,2001
Abgail,29,F,1995,2013,2013
Abha,57,F,1980,2018,2016
Abhay,759,M,1977,2020,2016
Abhaya,12,F,2018,2019,2019
Abheek,7,M,2011,2011,2011
Abhi,264,M,1997,2020,2007
Abhigna,48,F,2006,2018,2016
Abhijay,100,M,2000,2018,2010
Abhijeet,45,M,1999,2008,2002
Abhijit,42,M,1997,2014,2000
Abhijot,58,M,2009,2019,2009
Abhik,31,M,2001,2020,2015
Abhilash,22,M,1999,2008,1999
Abhimanyu,226,M,1993,2020,2016
Abhinav,1869,M,1990,2020,2008
Abhinay,5,M,2003,2003,2003
Abhinaya,5,F,2014,2014,2014
Abhir,5,M,2018,2018,2018
Abhiraam,6,M,2015,2015,2015
Abhiraj,94,M,2001,2020,2010
Abhiram,1057,M,1996,2020,2016
Abhirami,5,F,2016,2016,2016
Abhirup,10,M,2004,2008,2004
Abhishek,758,M,1981,2018,2000
Abhyant,6,M,2020,2020,2020
Abhyuday,10,M,2015,2016,2015
Abi,555,F,1973,2020,2016
Abi,22,M,2005,2012,2007
Abia,103,F,2001,2019,2011
Abiageal,145,F,2001,2017,2009
Abiah,68,F,2003,2020,2018
Abiah,14,M,2019,2020,2020
Abian,20,M,2010,2017,2017
Abianna,10,F,2006,2017,2006
Abibail,6,F,1987,1987,1987
Abid,357,M,1978,2020,2006
Abida,44,F,1998,2018,2003
Abidah,5,F,2015,2015,2015
Abidan,16,M,1994,2015,2015
Abie,67,F,1918,2010,2010
Abie,677,M,1889,2020,1923
Abiegail,15,F,2002,2012,2002
Abiel,28,F,2007,2017,2008
